host,size,shuffle,variant,reference,tm_med,tr_med,tm_ratio,tr_ratio,tm_w1_pct,tr_w1_pct,delta_w1_pct,tr_gt_tm_w1
c920bn3,256,1,wtime_current,cntvcto_current,34202.0,33532.0,0.9988901869158878,0.9985705777248363,0.09694224432462926,0.12724390624047122,-0.03030166191584195,True
c920bn3,256,2,cgt_current,cntvcto_current,34252.0,33562.0,1.000642711072159,0.999761691986893,0.07498248904188248,0.038345720128543336,0.03663676891333915,False
c920bn3,256,2,cntvct_current,cntvcto_current,34230.0,33570.0,1.0,1.0,0.0035305749744308805,0.002042740286299546,0.0014878346881313344,False
c920bn3,256,2,cntvcto_current,cntvcto_current,34230.0,33570.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,256,2,papi_time_only,cntvcto_current,34423.0,33563.0,1.0056383289512123,0.9997914804885314,0.5521101033252735,0.03511101373064646,0.516999089594627,False
c920bn3,256,2,papix6_current,cntvcto_current,34392.0,33542.0,1.0047326906222611,0.9991659219541257,0.4773839895733181,0.06803343266141171,0.4093505569119064,False
c920bn3,256,2,papix6_read_before_ns0,cntvcto_current,34382.0,33542.0,1.0044405492258253,0.9991659219541257,0.4326350347881269,0.07920620508326123,0.35342882970486567,False
c920bn3,256,2,wtime_current,cntvcto_current,34212.0,33531.0,0.9994741454864154,0.9988382484361037,0.0737324101763795,0.14460915725961007,-0.07087674708323057,True
camd9554n1,32,0,cgt_current,tsc_current,721.0,691.0,1.6767441860465115,1.6853658536585365,68.6319513771323,66.30637209302324,2.325579284109054,False
camd9554n1,32,0,papi_time_only,tsc_current,1041.0,411.0,2.4209302325581397,1.002439024390244,142.68924312094336,1.2205605515605513,141.46868256938282,False
camd9554n1,32,0,papix6_current,tsc_current,1322.0,691.0,3.074418604651163,1.6853658536585365,208.05767423212282,65.96464883720928,142.09302539491352,False
camd9554n1,32,0,papix6_no_read,tsc_current,1321.0,691.0,3.072093023255814,1.6853658536585365,208.10965543551828,66.2491930232558,141.86046241226248,False
camd9554n1,32,0,papix6_read_before_ns0,tsc_current,1041.0,411.0,2.4209302325581397,1.002439024390244,143.1912430743244,1.4061495686239869,141.78509350570042,False
camd9554n1,32,0,tsc_cpuid_mem,tsc_current,430.0,410.0,1.0,1.0,0.0001792721698258664,0.00017906976744185802,2.0240238400839254e-07,False
camd9554n1,32,0,tsc_current,tsc_current,430.0,410.0,1.0,1.0,0.0,0.0,0.0,False
camd9554n1,32,0,tsc_lfence_mem,tsc_current,701.0,681.0,1.630232558139535,1.6609756097560975,61.83436303523102,61.72390232558139,0.11046070964962951,False
camd9554n1,32,0,tsc_native_current,tsc_current,721.0,701.0,1.6767441860465115,1.7097560975609756,67.11735695647651,67.01991395348837,0.09744300298814323,False
camd9554n1,32,0,tsc_pre_cgt,tsc_current,420.0,400.0,0.9767441860465116,0.975609756097561,1.138010547454159,1.138009302325581,1.2451285780201715e-06,False
camd9554n1,32,0,wtime_current,tsc_current,730.0,691.0,1.697674418604651,1.6853658536585365,68.2696792254769,63.851316279069756,4.41836294640715,False
camd9554n1,32,1,cgt_current,tsc_current,721.0,691.0,1.6767441860465115,1.6853658536585365,68.61592190704788,66.29033953488373,2.325582372164149,False
camd9554n1,32,1,papi_time_only,tsc_current,1041.0,411.0,2.4209302325581397,1.002439024390244,142.67126147778956,1.2056200000000012,141.46564147778955,False
camd9554n1,32,1,papix6_current,tsc_current,1321.0,690.0,3.072093023255814,1.6829268292682926,207.8449605519458,65.75193488372093,142.09302566822487,False
camd9554n1,32,1,papix6_no_read,tsc_current,1321.0,690.0,3.072093023255814,1.6829268292682926,208.15443048978025,66.06140930232559,142.09302118745467,False
camd9554n1,32,1,papix6_read_before_ns0,tsc_current,1041.0,411.0,2.4209302325581397,1.002439024390244,142.87113127993177,1.1860837209302322,141.68504755900153,False
camd9554n1,32,1,tsc_cpuid_mem,tsc_current,430.0,410.0,1.0,1.0,0.0017322199979143598,0.0017325581395348816,-3.3814162052185105e-07,True
camd9554n1,32,1,tsc_current,tsc_current,430.0,410.0,1.0,1.0,0.0,0.0,0.0,False
camd9554n1,32,1,tsc_lfence_mem,tsc_current,701.0,681.0,1.630232558139535,1.6609756097560975,61.75246078804785,61.64154186046511,0.11091892758273758,False
camd9554n1,32,1,tsc_native_current,tsc_current,721.0,701.0,1.6767441860465115,1.7097560975609756,67.10789679667937,66.99086279069768,0.11703400598169367,False
camd9554n1,32,1,tsc_pre_cgt,tsc_current,420.0,400.0,0.9767441860465116,0.975609756097561,1.162037131056071,1.162039534883721,-2.4038276498217215e-06,True
camd9554n1,32,1,wtime_current,tsc_current,730.0,690.0,1.697674418604651,1.6829268292682926,68.10834851694042,63.457262790697676,4.651085726242748,False
camd9554n1,32,2,cgt_current,tsc_current,721.0,691.0,1.6767441860465115,1.6853658536585365,68.6325594889222,66.30697674418606,2.3255827447361384,False
camd9554n1,32,2,papi_time_only,tsc_current,1041.0,411.0,2.4209302325581397,1.002439024390244,142.556486358457,0.9198739534883722,141.63661240496862,False
camd9554n1,32,2,papix6_current,tsc_current,1321.0,690.0,3.072093023255814,1.6829268292682926,207.8329685109631,65.7399459185913,142.0930225923718,False
camd9554n1,32,2,papix6_no_read,tsc_current,1321.0,691.0,3.072093023255814,1.6853658536585365,208.00061894011077,66.1401511627907,141.86046777732008,False
camd9554n1,32,2,papix6_read_before_ns0,tsc_current,1041.0,411.0,2.4209302325581397,1.002439024390244,143.0834018232869,1.3104967441860464,141.77290507910084,False
camd9554n1,32,2,tsc_cpuid_mem,tsc_current,430.0,410.0,1.0,1.0,0.001074854188715811,0.0010744186046511644,4.3558406464670914e-07,False
camd9554n1,32,2,tsc_current,tsc_current,430.0,410.0,1.0,1.0,0.0,0.0,0.0,False
camd9554n1,32,2,tsc_lfence_mem,tsc_current,701.0,681.0,1.630232558139535,1.6609756097560975,61.90707826773669,61.80187209302325,0.10520617471344451,False
camd9554n1,32,2,tsc_native_current,tsc_current,721.0,701.0,1.6767441860465115,1.7097560975609756,67.10593958058045,67.10593953488372,4.56967370610073e-08,False
camd9554n1,32,2,tsc_pre_cgt,tsc_current,420.0,400.0,0.9767441860465116,0.975609756097561,1.1403354497958176,1.1403348837209304,5.660748871871846e-07,False
camd9554n1,32,2,wtime_current,tsc_current,730.0,691.0,1.697674418604651,1.6853658536585365,68.17652467707565,63.75792325581395,4.418601421261698,False
camd9554n1,64,0,cgt_current,tsc_current,2764.0,2724.0,1.7146401985111663,1.7218710493046776,70.51156471613295,70.1667098654642,0.344854850668753,False
camd9554n1,64,0,papi_time_only,tsc_current,2213.0,1592.0,1.3728287841191067,1.0063211125158027,37.01686051480448,0.6500366004962778,36.3668239143082,False
